timestamp,stationId,t,zeroDeltaNum
1480636860,1,1.0,0
1480636860,2,0.0,2
1480636860,3,1.0,0
1480636860,4,1.0,0
1480636860,5,0.0,2
1480636860,6,1.0,0
1480636860,7,1.0,0
1480636860,8,0.8333333333333334,0
1480636860,9,0.0,1
1480636860,10,0.0,1
1480636860,11,1.0,0
1480636860,12,1.0,0
1480636860,13,1.0,0
1480636860,14,0.0,5
1480636860,15,1.0,0
1480636860,16,0.36363636363636365,0
1480636860,17,1.0,0
1480636860,18,0.6666666666666667,0
1480636860,19,0.0,3
1480636860,20,0.0,2
1480636860,21,1.0,0
1480636860,22,0.0,3
1480636860,23,1.0,0
1480636860,24,1.0,0
1480636860,25,0.0,1
1480636860,26,0.5,0
1480636860,27,1.0,0
1480636860,28,0.0,1
1480636860,29,1.0,0
1480636860,32,0.2,0
1480636860,33,0.0,2
1480636860,34,1.0,0
1480636860,35,1.0,0
1480636860,36,0.0,4
1480636860,37,1.0,0
1480636860,38,0.0,10
1480636860,39,0.0,1
1480636860,40,1.0,0
1480636860,41,0.0,1
1480636860,43,0.0,19
1480636860,44,0.0,1
1480636860,46,1.0,0
1480636860,48,1.0,0
1480636860,49,1.0,0
1480636860,50,1.0,0
1480636860,51,1.0,0
1480636860,52,1.0,0
1480636860,53,1.0,0
1480636860,54,1.0,0
1480636860,55,1.0,0
1480636860,56,1.0,0
1480636860,57,1.0,0
1480636860,58,1.0,0
1480636860,59,1.0,0
1480636860,60,1.0,0
1480636860,61,1.0,0
1480723260,1,1.0,0
1480723260,2,1.0,0
1480723260,3,1.0,0
1480723260,4,0.0,1
1480723260,5,0.14285714285714293,0
1480723260,6,1.0,0
1480723260,7,1.0,0
1480723260,8,1.0,0
1480723260,9,0.0,3
1480723260,10,0.5,0
1480723260,11,1.0,0
1480723260,12,1.0,0
1480723260,13,1.0,0
1480723260,14,0.0,1
1480723260,15,1.0,0
1480723260,16,1.0,0
1480723260,17,0.0,1
1480723260,18,0.0,1
1480723260,19,0.0,6
1480723260,20,0.0,9
1480723260,21,0.0,1
1480723260,22,0.0,4
1480723260,23,1.0,0
1480723260,24,1.0,0
1480723260,25,0.0,1
1480723260,26,1.0,0
1480723260,27,1.0,0
1480723260,28,0.0,1
1480723260,29,1.0,0
1480723260,32,0.0,1
1480723260,33,1.0,0
1480723260,34,1.0,0
1480723260,35,0.6666666666666667,0
1480723260,36,0.0,3
1480723260,37,1.0,0
1480723260,38,0.0,1
1480723260,39,0.0,1
1480723260,40,1.0,0
1480723260,41,null,null
1480723260,43,0.0,16
1480723260,44,0.0,1
1480723260,46,1.0,0
1480723260,48,1.0,0
1480723260,49,1.0,0
1480723260,50,1.0,0
1480723260,51,1.0,0
1480723260,52,1.0,0
1480723260,53,1.0,0
1480723260,54,1.0,0
1480723260,55,1.0,0
1480723260,56,1.0,0
1480723260,57,1.0,0
1480723260,58,1.0,0
1480723260,59,1.0,0
1480723260,60,1.0,0
1480723260,61,1.0,0
1480809660,1,1.0,0
1480809660,2,0.0,1
1480809660,3,1.0,0
1480809660,4,0.0,1
1480809660,5,0.7142857142857149,0
1480809660,6,1.0,0
1480809660,7,1.0,0
1480809660,8,0.0,1
1480809660,9,0.0,3
1480809660,10,1.0,0
1480809660,11,1.0,0
1480809660,12,1.0,0
1480809660,13,1.0,0
1480809660,14,1.0,0
1480809660,15,1.0,0
1480809660,16,0.0,1
1480809660,17,0.0,1
1480809660,18,1.0,0
1480809660,19,0.0,5
1480809660,20,0.0,6
1480809660,21,0.0,1
1480809660,22,0.0,3
1480809660,23,1.0,0
1480809660,24,1.0,0
1480809660,25,1.0,0
1480809660,26,0.0,1
1480809660,27,1.0,0
1480809660,28,0.0,1
1480809660,29,1.0,0
1480809660,32,0.5,0
1480809660,33,1.0,0
1480809660,34,1.0,0
1480809660,35,1.0,0
1480809660,36,0.0,3
1480809660,37,0.0,1
1480809660,38,0.0,1
1480809660,39,0.0,1
1480809660,40,1.0,0
1480809660,43,0.0,9
1480809660,44,1.0,0
1480809660,46,1.0,0
1480809660,48,1.0,0
1480809660,49,1.0,0
1480809660,50,1.0,0
1480809660,51,1.0,0
1480809660,52,1.0,0
1480809660,53,1.0,0
1480809660,54,1.0,0
1480809660,55,1.0,0
1480809660,56,1.0,0
1480809660,57,1.0,0
1480809660,58,1.0,0
1480809660,59,1.0,0
1480809660,60,1.0,0
1480809660,61,1.0,0
1480896060,1,1.0,0
1480896060,2,0.0,2
1480896060,3,1.0,0
1480896060,4,1.0,0
1480896060,5,0.0,2
1480896060,6,1.0,0
1480896060,7,1.0,0
1480896060,8,1.0,0
1480896060,9,0.0,2
1480896060,10,1.0,0
